region,region0,year,value,pop_2013,cpi,source
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2014,32274413423,21021000,267.333333333333,mof
SNNP (Sidama),The State of Sidama,2014,8068603355,3987457,267.333333333333,mof
Somalia,The State of Somalia,2014,20021049600,6355003,267.333333333333,mof
Tigray,The State of Tigray,2014,12096886682,5641005,267.333333333333,mof
Addis Ababa,Addis Ababa City Government,2015,3279614780,3773999,352.1,mof
Afar,The State of Afar,2015,6224253220,1989997,352.1,mof
Amhara,The State of Amhara,2015,44517837600,22535997,352.1,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2015,3771650130,1187997,352.1,mof
Dire Dawa,Dire Dawa Administration,2015,1813689680,521000,352.1,mof
Gambela,The State of the Gambela Peoples,2015,2741144630,492002,352.1,mof
Harari,The State of the Harari People,2015,1566368360,270000,352.1,mof
Oromia,The State of Oromia,2015,71022439060,39075002,352.1,mof
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2015,26591356338,21021000,352.1,mof
SNNP (SWEP),The State of Southern West Ethiopia Peoples,2015,6400400905,,352.1,mof
SNNP (Sidama),The State of Sidama,2015,8455173967,3987457,352.1,mof
Somalia,The State of Somalia,2015,20568889780,6355003,352.1,mof
Tigray,The State of Tigray,2015,12427896330,5641005,352.1,mof
Addis Ababa,Addis Ababa City Government,2016,5254541684,3773999,439.241666666667,mof
Afar,The State of Afar,2016,6306347948,1989997,439.241666666667,mof
Amhara,The State of Amhara,2016,45105005187,22535997,439.241666666667,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2016,3821396273,1187997,439.241666666667,mof
Dire Dawa,Dire Dawa Administration,2016,1837611323,521000,439.241666666667,mof
Gambela,The State of the Gambela Peoples,2016,2777298930,492002,439.241666666667,mof
Harari,The State of the Harari People,2016,1587027961,270000,439.241666666667,mof
Oromia,The State of Oromia,2016,71959188831,39075002,439.241666666667,mof
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2016,26942082775,21021000,439.241666666667,mof
SNNP (SWEP),The State of Southern West Ethiopia Peoples,2016,6484818931,,439.241666666667,mof
SNNP (Sidama),The State of Sidama,2016,8566693402,3987457,439.241666666667,mof
Somalia,The State of Somalia,2016,20840182952,6355003,439.241666666667,mof
Tigray,The State of Tigray,2016,12591813948,5641005,439.241666666667,mof
Addis Ababa,Addis Ababa City Government,2017,5459000522,3773999,501.182,mof
Afar,The State of Afar,2017,6560500289,1989997,501.182,mof
Amhara,The State of Amhara,2017,46922783527,22535997,501.182,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2017,3975402493,1187997,501.182,mof
Dire Dawa,Dire Dawa Administration,2017,1911668959,521000,501.182,mof
Gambela,The State of the Gambela Peoples,2017,2889226949,492002,501.182,mof
Harari,The State of the Harari People,2017,1650986828,270000,501.182,mof
Oromia,The State of Oromia,2017,74859218535,39075002,501.182,mof
SNNP (CE),The State of  Central Ethiopia,2017,12825556317,,501.182,mof
SNNP (SE),The State of South Ethiopia,2017,15202320247,,501.182,mof
SNNP (SWEP),The State of Southern West Ethiopia Peoples,2017,6746163838,,501.182,mof
SNNP (Sidama),The State of Sidama,2017,8911940002,3987457,501.182,mof
Somalia,The State of Somalia,2017,21680063870,6355003,501.182,mof
Tigray,The State of Tigray,2017,13099277069,5641005,501.182,mof
Afar,The State of Afar,2018,9505661220,1989997,,mof
Amhara,The State of Amhara,2018,67987510714,22535997,,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2018,5760052991,1187997,,mof
Dire Dawa,Dire Dawa Administration,2018,2769861548,521000,,mof
Gambela,The State of the Gambela Peoples,2018,4186268021,492002,,mof
Harari,The State of the Harari People,2018,2392153155,270000,,mof
Oromia,The State of Oromia,2018,108465260148,39075002,,mof
SNNP (CE),The State of  Central Ethiopia,2018,18696565446,,,mof
SNNP (SE),The State of South Ethiopia,2018,22127416681,,,mof
SNNP (SWEP),The State of Southern West Ethiopia Peoples,2018,9820418214,,,mof
SNNP (Sidama),The State of Sidama,2018,12653231161,3987457,,mof
Somalia,The State of Somalia,2018,31412748005,6355003,,mof
Tigray,The State of Tigray,2018,18979846741,5641005,,mof
