currency_id,currency_name,currency_code,date,buying,selling
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-20,382.503,386.328
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-23,116.8602,122.6459
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-23,155.6695,157.2262
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-23,137.8393,139.2177
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-23,11.4782,11.5929
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-23,11.1322,11.2435
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-23,17.505,17.6801
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-23,0.6545,0.6741
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-23,1.3988,1.4128
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-23,0.9024,0.9295
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-23,0.8135,0.8216
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-23,86.2246,87.0868
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-23,79.6636,80.4602
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-23,31.1403,31.4517
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-23,31.8143,32.1324
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-23,130.5796,131.8854
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-23,156.768,158.3356
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-23,6.6817,6.7486
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-23,16.566,16.7317
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-23,382.9976,386.8276
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-24,116.7417,123.4115
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-24,155.7918,157.3497
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-24,137.7483,139.1258
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-24,11.4441,11.5586
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-24,11.126,11.2373
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-24,17.414,17.5881
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-24,0.6538,0.6734
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-24,1.3968,1.4107
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-24,0.9015,0.9285
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-24,0.8133,0.8214
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-24,86.4369,87.3013
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-24,79.8747,80.6734
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-24,31.1129,31.424
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-24,31.782,32.0998
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-24,129.8635,131.1621
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-24,157.8114,159.3895
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-24,6.7322,6.7995
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-24,16.5537,16.7192
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-24,382.6092,386.4353
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-25,116.9739,123.6307
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-25,156.593,158.1589
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-25,138.3488,139.7323
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-25,11.5545,11.67
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-25,11.2109,11.3231
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-25,17.5006,17.6756
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-25,0.6551,0.6748
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-25,1.3989,1.4129
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-25,0.9033,0.9304
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-25,0.8144,0.8226
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-25,86.879,87.7478
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-25,80.4663,81.271
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-25,31.1764,31.4882
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-25,31.8452,32.1637
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-25,130.4844,131.7892
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-25,157.9966,159.5766
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-25,6.7497,6.8172
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-25,16.6345,16.8009
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-25,382.7503,386.5778
